Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mag1_2,mag2,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
NGC3225,_dbar,2,5,BAR,ferrer2,,,,,,,0.032,19.76,,,13.184,13.636,10.064,39.529,Sc,5.8,64.95,39.5,5.5,0.25
NGC3254,_bdbar,3,5,BAR,ferrer2,,,,,,,0.074,20.251,,,11.52,12.005,10.575,32.154,Sbc,4.0,64.41,32.2,3.0,0.75
NGC3274,_dbar,2,5,BAR,ferrer2,,,,,,,0.082,21.338,,,13.252,13.671,9.056,13.129,Scd,6.6,61.62,13.1,9.0,0.0
NGC3319,_dbar,2,5,BAR,ferrer2,,,,,,,0.087,20.605,,,11.841,12.14,9.73,16.497,SBc,6.0,62.68,16.5,6.0,1.0
NGC3329,_dbarn,3,5,BAR,ferrer2,,,,,,,0.188,18.015,,,11.914,12.376,10.349,30.3,Sb,2.9,56.31,,1.0,0.0
NGC3346,_dbar,2,5,BAR,ferrer2,,,,,,,0.014,19.514,,,11.707,12.152,10.157,22.4,SBc,5.9,34.12,22.4,6.0,1.0
NGC3351,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.098,19.709,,,9.2,9.668,10.486,10.113,Sb,3.1,54.64,,1.0,1.0
NGC3353,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.287,18.801,,,12.884,13.164,9.419,18.94,Sb,3.4,45.74,18.9,10.0,
NGC3359,_dbar,2,5,BAR,ferrer2,,,,,,,0.074,19.519,,,10.965,11.353,10.259,18.809,Sc,5.2,47.16,,6.5,1.0
NGC3380,_bdbarn,4,5,BAR,ferrer2,,,,,,,0.257,20.725,,,12.428,12.905,9.961,,SBa,1.0,27.71,21.4,0.0,0.62
NGC3381,_dbar,2,5,BAR,ferrer2,,,,,,,0.108,20.111,,,12.553,12.963,9.892,,SBb,3.2,26.34,21.7,8.0,1.0
NGC3447,_dbar,2,5,BAR,ferrer2,,,,,,,0.051,22.06,,,13.397,13.904,9.433,20.1,Sm,8.8,64.1,20.1,8.5,0.75
NGC3485,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.025,21.194,,,12.106,12.545,9.944,,Sb,3.1,19.98,19.1,3.5,0.62
NGC3488,_dbar,2,5,BAR,ferrer2,,,,,,,0.027,19.147,,,13.04,13.489,10.296,48.4,SBc,5.2,63.88,48.4,5.5,0.38
NGC3489,_bdbar,3,5,BAR,ferrer2,,,,,,,0.095,18.372,,,10.041,10.553,10.135,9.576,S0-a,-1.2,63.72,9.6,-2.0,0.75
NGC3504,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.164,19.489,,,10.568,10.862,10.404,20.05,Sab,2.1,26.15,20.1,1.0,0.75
NGC3507,_bdbar,3,5,BAR,ferrer2,,,,,,,0.052,20.82,,,11.08,11.555,10.127,15.8,SBb,3.1,31.88,15.8,3.0,0.75
